purchasing_control.budget.validation.amount_too_large,Der Budgetbetrag überschreitet den maximal zulässigen Wert.,de_DE
purchasing_control.budget.validation.date_range_invalid,Budget start date must be before end date.,en_US
purchasing_control.budget.validation.date_range_invalid,Das Startdatum des Budgets muss vor dem Enddatum liegen.,de_DE
purchasing_control.budget.validation.currency_invalid,Budget currency must be a 3-character ISO code.,en_US
purchasing_control.budget.validation.currency_invalid,Die Budgetwährung muss ein 3-stelliger ISO-Code sein.,de_DE
purchasing_control.budget.validation.currency_changed,Budget currency cannot be changed.,en_US
purchasing_control.budget.validation.currency_changed,Die Budgetwährung kann nicht geändert werden.,de_DE
purchasing_control.budget.validation.name_too_long,Budget name must not exceed 100 characters.,en_US
purchasing_control.budget.validation.name_too_long,Der Budgetname darf nicht mehr als 100 Zeichen enthalten.,de_DE
purchasing_control.cost_center.validation.name_too_long,Cost center name must not exceed 100 characters.,en_US
purchasing_control.cost_center.validation.name_too_long,Der Name der Kostenstelle darf nicht mehr als 100 Zeichen enthalten.,de_DE
purchasing_control.cost_center.validation.name_empty,Cost center name must not be empty.,en_US
purchasing_control.cost_center.validation.name_empty,Der Name der Kostenstelle darf nicht leer sein.,de_DE
purchasing_control.cost_center.validation.business_unit_empty,At least one business unit must be assigned to a cost center.,en_US
purchasing_control.cost_center.validation.business_unit_empty,Der Kostenstelle muss mindestens eine Geschäftseinheit zugewiesen sein.,de_DE
purchasing_control.cost_center.validation.access_denied,You do not have access to this cost center.,en_US
purchasing_control.cost_center.validation.access_denied,Sie haben keinen Zugriff auf diese Kostenstelle.,de_DE
purchasing_control.cost_center.validation.business_unit_not_in_company,Selected business units do not belong to your company.,en_US
purchasing_control.cost_center.validation.business_unit_not_in_company,Die ausgewählten Geschäftseinheiten gehören nicht zu Ihrem Unternehmen.,de_DE
purchasing_control.cost_center.menu_item,Cost Centers,en_US
purchasing_control.cost_center.menu_item,Kostenstellen,de_DE
purchasing_control.cost_center.list.title,Cost Centers,en_US
purchasing_control.cost_center.list.title,Kostenstellen,de_DE
purchasing_control.cost_center.list.empty,No cost centers found.,en_US
purchasing_control.cost_center.list.empty,Keine Kostenstellen gefunden.,de_DE
purchasing_control.cost_center.list.status,Status,en_US
purchasing_control.cost_center.list.status,Status,de_DE
purchasing_control.cost_center.list.actions,Actions,en_US
purchasing_control.cost_center.list.actions,Aktionen,de_DE
purchasing_control.cost_center.create.title,Create Cost Center,en_US
purchasing_control.cost_center.create.title,Kostenstelle erstellen,de_DE
purchasing_control.cost_center.update.title,Edit Cost Center,en_US
purchasing_control.cost_center.update.title,Kostenstelle bearbeiten,de_DE
purchasing_control.cost_center.form.name,Name,en_US
purchasing_control.cost_center.form.name,Name,de_DE
purchasing_control.cost_center.form.description,Description,en_US
purchasing_control.cost_center.form.description,Beschreibung,de_DE
purchasing_control.cost_center.form.business_unit,Business Unit,en_US
purchasing_control.cost_center.form.business_unit,Geschäftseinheit,de_DE
purchasing_control.cost_center.form.is_active,Cost Center is active,en_US
purchasing_control.cost_center.form.is_active,Kostenstelle ist aktiv,de_DE
purchasing_control.cost_center.success.created,Cost center created successfully.,en_US
purchasing_control.cost_center.success.created,Kostenstelle erfolgreich erstellt.,de_DE
purchasing_control.cost_center.success.updated,Cost center updated successfully.,en_US
purchasing_control.cost_center.success.updated,Kostenstelle erfolgreich aktualisiert.,de_DE
purchasing_control.cost_center.success.activated,Cost center activated successfully.,en_US
purchasing_control.cost_center.success.activated,Kostenstelle erfolgreich aktiviert.,de_DE
purchasing_control.cost_center.success.deactivated,Cost center deactivated successfully.,en_US
purchasing_control.cost_center.success.deactivated,Kostenstelle erfolgreich deaktiviert.,de_DE
purchasing_control.cost_center.status.active,Active,en_US
purchasing_control.cost_center.status.active,Aktiv,de_DE
purchasing_control.cost_center.status.inactive,Inactive,en_US
purchasing_control.cost_center.status.inactive,Inaktiv,de_DE
purchasing_control.cost_center.action.edit,Edit,en_US
purchasing_control.cost_center.action.edit,Bearbeiten,de_DE
purchasing_control.cost_center.action.activate,Activate,en_US
purchasing_control.cost_center.action.activate,Aktivieren,de_DE
purchasing_control.cost_center.action.deactivate,Deactivate,en_US
purchasing_control.cost_center.action.deactivate,Deaktivieren,de_DE
purchasing_control.cost_center.action.save,Save,en_US
purchasing_control.cost_center.action.save,Speichern,de_DE
purchasing_control.cost_center.action.cancel,Cancel,en_US
purchasing_control.cost_center.action.cancel,Abbrechen,de_DE
purchasing_control.cost_center.error.company_user_not_found,Company user not found.,en_US
purchasing_control.cost_center.error.company_user_not_found,Unternehmensbenutzer nicht gefunden.,de_DE
purchasing_control.cost_center.error.not_found,Cost center not found.,en_US
purchasing_control.cost_center.error.not_found,Kostenstelle nicht gefunden.,de_DE
purchasing_control.cost_center.search.name_placeholder,Search by name...,en_US
purchasing_control.cost_center.search.name_placeholder,Nach Name suchen...,de_DE
purchasing_control.cost_center.search.all_business_units,All Business Units,en_US
purchasing_control.cost_center.search.all_business_units,Alle Geschäftseinheiten,de_DE
purchasing_control.cost_center.search.status.all,All,en_US
purchasing_control.cost_center.search.status.all,Alle,de_DE
purchasing_control.cost_center.search.status.active,Active,en_US
purchasing_control.cost_center.search.status.active,Aktiv,de_DE
purchasing_control.cost_center.search.status.inactive,Inactive,en_US
purchasing_control.cost_center.search.status.inactive,Inaktiv,de_DE
purchasing_control.cost_center.search.active_filters,Active filters:,en_US
purchasing_control.cost_center.search.active_filters,Aktive Filter:,de_DE
purchasing_control.cost_center.search.reset_all,Reset all,en_US
purchasing_control.cost_center.search.reset_all,Alle zurücksetzen,de_DE
purchasing_control.cost_center.action.budgets,Budgets,en_US
purchasing_control.cost_center.action.budgets,Budgets,de_DE
purchasing_control.cost_center.business_units.more,more,en_US
purchasing_control.cost_center.business_units.more,weitere,de_DE
purchasing_control.budget.list.title,Budgets,en_US
purchasing_control.budget.list.title,Budgets,de_DE
purchasing_control.budget.list.empty,No budgets found for this cost center.,en_US
purchasing_control.budget.list.empty,Keine Budgets für diese Kostenstelle gefunden.,de_DE
purchasing_control.budget.create.title,Create Budget,en_US
purchasing_control.budget.create.title,Budget erstellen,de_DE
purchasing_control.budget.update.title,Edit Budget,en_US
purchasing_control.budget.update.title,Budget bearbeiten,de_DE
purchasing_control.budget.success.created,Budget created successfully.,en_US
purchasing_control.budget.success.created,Budget erfolgreich erstellt.,de_DE
purchasing_control.budget.success.updated,Budget updated successfully.,en_US
purchasing_control.budget.success.updated,Budget erfolgreich aktualisiert.,de_DE
purchasing_control.budget.success.deactivated,Budget deactivated successfully.,en_US
purchasing_control.budget.success.deactivated,Budget erfolgreich deaktiviert.,de_DE
purchasing_control.budget.success.reactivated,Budget reactivated successfully.,en_US
purchasing_control.budget.success.reactivated,Budget erfolgreich reaktiviert.,de_DE
purchasing_control.budget.error.not_found,Budget not found.,en_US
purchasing_control.budget.error.not_found,Budget nicht gefunden.,de_DE
purchasing_control.budget.error.cost_center_not_found,Cost center not found.,en_US
purchasing_control.budget.error.cost_center_not_found,Kostenstelle nicht gefunden.,de_DE
purchasing_control.budget.form.name,Name,en_US
purchasing_control.budget.form.name,Name,de_DE
purchasing_control.budget.form.amount,Total Amount,en_US
purchasing_control.budget.form.amount,Gesamtbetrag,de_DE
purchasing_control.budget.form.currency,Currency,en_US
purchasing_control.budget.form.currency,Währung,de_DE
purchasing_control.budget.form.starts_at,Start date,en_US
purchasing_control.budget.form.starts_at,Startdatum,de_DE
purchasing_control.budget.form.ends_at,End date,en_US
purchasing_control.budget.form.ends_at,Enddatum,de_DE
purchasing_control.budget.form.enforcement_rule,Enforcement Rule,en_US
purchasing_control.budget.form.enforcement_rule,Durchsetzungsregel,de_DE
purchasing_control.budget.form.enforcement_rule.block,Block,en_US
purchasing_control.budget.form.enforcement_rule.block,Blockieren,de_DE
purchasing_control.budget.form.enforcement_rule.warn,Display warning,en_US
purchasing_control.budget.form.enforcement_rule.warn,Warnung anzeigen,de_DE
purchasing_control.budget.form.enforcement_rule.require_approval,Require Approval,en_US
purchasing_control.budget.form.enforcement_rule.require_approval,Genehmigung erforderlich,de_DE
purchasing_control.budget.form.is_active,Budget is active,en_US
purchasing_control.budget.form.is_active,Kostenstelle ist aktiv,de_DE
purchasing_control.budget.action.save,Save,en_US
purchasing_control.budget.action.save,Speichern,de_DE
purchasing_control.budget.action.cancel,Cancel,en_US
purchasing_control.budget.action.cancel,Abbrechen,de_DE
purchasing_control.budget.action.edit,Edit,en_US
purchasing_control.budget.action.edit,Bearbeiten,de_DE
purchasing_control.budget.action.deactivate,Deactivate,en_US
purchasing_control.budget.action.deactivate,Deaktivieren,de_DE
purchasing_control.budget.action.reactivate,Reactivate,en_US
purchasing_control.budget.action.reactivate,Reaktivieren,de_DE
purchasing_control.budget.status.active,Active,en_US
purchasing_control.budget.status.active,Aktiv,de_DE
purchasing_control.budget.status.inactive,Inactive,en_US
purchasing_control.budget.status.inactive,Inaktiv,de_DE
purchasing_control.budget.status.archived,Archived,en_US
purchasing_control.budget.status.archived,Archiviert,de_DE
purchasing_control.budget.list.column.amount,Amount,en_US
purchasing_control.budget.list.column.amount,Betrag,de_DE
purchasing_control.budget.list.column.consumed,Consumed,en_US
purchasing_control.budget.list.column.consumed,Verbraucht,de_DE
purchasing_control.budget.list.column.remaining,Remaining,en_US
purchasing_control.budget.list.column.remaining,Verbleibend,de_DE
purchasing_control.budget.list.column.currency,Currency,en_US
purchasing_control.budget.list.column.currency,Währung,de_DE
purchasing_control.budget.list.column.period,Period,en_US
purchasing_control.budget.list.column.period,Zeitraum,de_DE
purchasing_control.budget.list.column.enforcement_rule,Rule,en_US
purchasing_control.budget.list.column.enforcement_rule,Regel,de_DE
purchasing_control.budget.list.column.status,Status,en_US
purchasing_control.budget.list.column.status,Status,de_DE
purchasing_control.budget.list.column.actions,Actions,en_US
purchasing_control.budget.list.column.actions,Aktionen,de_DE
purchasing_control.budget.enforcement_rule.tooltip.block,Orders exceeding this budget will be blocked. Checkout is not permitted.,en_US
purchasing_control.budget.enforcement_rule.tooltip.block,"Bestellungen, die dieses Budget überschreiten, werden blockiert. Der Checkout ist nicht möglich.",de_DE
purchasing_control.budget.enforcement_rule.tooltip.warn,A warning is displayed when the order exceeds this budget. The order proceeds but may require approval.,en_US
